Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
N2,0.00021,0.00022,0.00032,0.00097,0.00013,0.00019,0.00016,0.0003,0.00095,2.92e-05,0.00014,0.00013,0.00021,0.00057,4.23e-05,0.00185,0.00163,0.00109,0.114,0.119,0.173,0.524,0.0703,0.117,0.0982,0.184,0.583,0.0179,0.128,0.119,0.192,0.522,0.0387,0.358,0.336,0.549,1.63,0.127,4.62,5.0,4.07,4.56,3.03,2.71,3.0,3.57,2.89,3.15,0.00152
N2,0.00025,0.00027,0.00041,0.00312,0.00014,0.00022,0.00022,0.00037,0.00195,4.1e-05,0.00016,0.00019,0.00023,0.00069,5.53e-05,0.00419,0.0028,0.00133,0.0597,0.0644,0.0979,0.745,0.0334,0.0785,0.0785,0.132,0.696,0.0146,0.121,0.143,0.174,0.521,0.0417,0.259,0.286,0.403,1.96,0.0898,12.5,8.86,4.31,8.55,7.61,3.0,6.79,5.27,2.63,4.9,0.00277
N2,0.0002,0.00019,0.00031,0.00081,0.00013,0.00017,0.00015,0.00027,0.00074,2.91e-05,0.00012,0.00011,0.00021,0.00055,4.09e-05,0.00164,0.00136,0.00103,0.122,0.116,0.189,0.494,0.0793,0.125,0.11,0.199,0.544,0.0214,0.116,0.107,0.204,0.534,0.0397,0.363,0.333,0.591,1.57,0.14,4.05,4.35,4.58,4.33,2.61,2.62,2.87,3.16,3.3,3.11,0.00134
N2,0.00021,0.0002,0.00034,0.00089,0.00013,0.00017,0.00015,0.00032,0.00094,2.91e-05,0.00012,0.00012,0.00021,0.00063,4.17e-05,0.00177,0.00161,0.00112,0.119,0.113,0.192,0.503,0.0734,0.106,0.0932,0.199,0.584,0.0181,0.107,0.107,0.187,0.562,0.0372,0.331,0.313,0.578,1.65,0.129,4.24,5.53,5.25,5.01,2.62,3.0,3.0,3.94,3.5,3.48,0.0015
N2,0.00021,0.00022,0.00031,0.00109,0.00013,0.00018,0.00017,0.00029,0.00109,3.01e-05,0.00013,0.00013,0.00021,0.00054,4.3e-05,0.00196,0.00176,0.00105,0.107,0.112,0.158,0.556,0.0663,0.102,0.0966,0.165,0.619,0.0171,0.123,0.123,0.199,0.513,0.0408,0.333,0.332,0.522,1.69,0.124,5.19,6.06,4.15,5.13,3.52,2.57,3.26,3.94,2.88,3.36,0.00159
N2,0.0002,0.0002,0.00034,0.00122,0.00012,0.00018,0.00015,0.0003,0.0011,2.76e-05,0.00013,0.00013,0.00022,0.00061,4.04e-05,0.00208,0.00176,0.00113,0.0962,0.0962,0.163,0.587,0.0577,0.102,0.0853,0.171,0.626,0.0157,0.115,0.115,0.195,0.54,0.0357,0.314,0.297,0.529,1.75,0.109,6.1,6.11,4.69,5.63,3.59,2.77,3.9,4.24,3.19,3.78,0.00166
N2,0.00022,0.00021,0.00036,0.00103,0.00013,0.0002,0.00016,0.00034,0.00104,2.98e-05,0.00013,0.00012,0.0002,0.00059,4.11e-05,0.00195,0.00177,0.00108,0.113,0.108,0.185,0.528,0.0667,0.113,0.0904,0.192,0.588,0.0168,0.12,0.111,0.185,0.546,0.038,0.346,0.309,0.562,1.66,0.122,4.68,5.2,4.54,4.81,2.86,2.95,3.23,3.83,3.16,3.41,0.0016
N2,0.0002,0.0002,0.00033,0.00097,0.00012,0.00018,0.00016,0.0003,0.00111,2.81e-05,0.00014,0.00013,0.00024,0.00073,4.08e-05,0.00182,0.00178,0.00128,0.11,0.11,0.181,0.533,0.0659,0.101,0.09,0.169,0.624,0.0158,0.109,0.101,0.187,0.57,0.0319,0.32,0.301,0.537,1.73,0.114,4.85,6.17,5.21,5.41,2.94,3.04,3.25,4.15,3.59,3.66,0.00163
N2,0.0002,0.0002,0.00037,0.00127,0.00012,0.00018,0.00015,0.00035,0.00118,2.72e-05,0.00014,0.00012,0.00023,0.00061,3.96e-05,0.00216,0.00189,0.00114,0.0926,0.0926,0.171,0.588,0.0556,0.0954,0.0795,0.185,0.625,0.0144,0.123,0.105,0.202,0.535,0.0347,0.311,0.277,0.559,1.75,0.105,6.35,6.56,4.36,5.75,3.43,2.65,4.1,4.64,3.23,3.99,0.00173
N2,0.00021,0.0002,0.00038,0.00157,0.00012,0.00019,0.00015,0.00037,0.00159,2.68e-05,0.00013,0.00012,0.00023,0.00071,4.05e-05,0.00248,0.00233,0.00123,0.0847,0.0806,0.153,0.633,0.0484,0.0817,0.0645,0.159,0.683,0.0115,0.106,0.0975,0.187,0.577,0.0329,0.272,0.243,0.499,1.89,0.0928,7.48,8.37,5.46,7.1,4.13,3.09,4.76,5.76,3.76,4.76,0.00201
N2,0.00021,0.00022,0.00037,0.00116,0.00012,0.00021,0.0002,0.00035,0.00115,2.93e-05,0.00015,0.00015,0.00025,0.00074,4.06e-05,0.00208,0.00194,0.00133,0.101,0.106,0.178,0.558,0.0577,0.108,0.103,0.18,0.593,0.0151,0.113,0.113,0.188,0.556,0.0305,0.322,0.322,0.546,1.71,0.103,5.52,5.48,4.93,5.31,3.14,2.96,3.56,3.66,3.3,3.51,0.00178
N2,0.00022,0.00021,0.00036,0.00136,0.00012,0.00019,0.00017,0.00034,0.00125,2.75e-05,0.00014,0.00013,0.00025,0.00076,3.93e-05,0.00227,0.00198,0.00132,0.0969,0.0925,0.159,0.599,0.0529,0.0961,0.086,0.172,0.632,0.0139,0.106,0.0985,0.189,0.576,0.0298,0.299,0.277,0.52,1.81,0.0966,6.18,6.58,5.43,6.06,3.78,3.04,4.0,4.42,3.74,4.05,0.00186
N2,0.00021,0.00021,0.00034,0.00114,0.00012,0.00017,0.00015,0.0003,0.00127,2.79e-05,0.00013,0.00012,0.00022,0.00075,4e-05,0.00202,0.00192,0.00126,0.104,0.104,0.168,0.564,0.0594,0.0886,0.0782,0.156,0.662,0.0145,0.103,0.0952,0.175,0.595,0.0317,0.296,0.277,0.499,1.82,0.106,5.43,7.47,5.77,6.22,3.35,3.41,3.52,4.91,3.88,4.1,0.00173
N2,0.00022,0.00021,0.00035,0.00134,0.00012,0.00019,0.00015,0.00032,0.00124,2.77e-05,0.00014,0.00013,0.00023,0.00074,4.13e-05,0.00224,0.00193,0.00128,0.0982,0.0938,0.156,0.598,0.0536,0.0986,0.0778,0.166,0.643,0.0144,0.109,0.101,0.18,0.578,0.0322,0.306,0.273,0.502,1.82,0.1,6.09,6.53,5.29,5.97,3.83,3.22,3.93,4.59,3.59,4.04,0.00182
N2,0.00021,0.00021,0.00035,0.00162,0.00012,0.00017,0.00015,0.00031,0.00132,2.77e-05,0.00013,0.00012,0.00021,0.00069,3.85e-05,0.00251,0.00198,0.00119,0.0837,0.0837,0.139,0.645,0.0478,0.086,0.0758,0.157,0.667,0.014,0.109,0.101,0.177,0.581,0.0324,0.279,0.26,0.473,1.89,0.0942,7.71,7.76,5.31,6.93,4.63,3.29,4.69,5.09,3.6,4.46,0.00189
N2,0.00022,0.00021,0.00038,0.0013,0.00012,0.00021,0.00017,0.00037,0.00132,2.88e-05,0.00013,0.00013,0.00022,0.00073,4.12e-05,0.00223,0.0021,0.00125,0.0987,0.0942,0.17,0.583,0.0538,0.1,0.081,0.176,0.629,0.0137,0.104,0.104,0.176,0.583,0.0329,0.303,0.279,0.523,1.8,0.1,5.91,6.29,5.62,5.94,3.42,3.32,3.91,4.45,3.65,4.0,0.00186
N2,0.00022,0.00021,0.0004,0.00176,0.00012,0.0002,0.00018,0.00033,0.00151,2.82e-05,0.00013,0.00013,0.00022,0.00074,4.04e-05,0.00271,0.00225,0.00126,0.0812,0.0775,0.148,0.649,0.0443,0.089,0.0801,0.147,0.672,0.0125,0.103,0.103,0.175,0.587,0.0321,0.273,0.261,0.469,1.91,0.0889,8.0,7.55,5.69,7.08,4.4,3.36,5.02,4.84,3.69,4.52,0.00207
N2,0.0002,0.0002,0.00034,0.00184,0.00012,0.00018,0.00015,0.00033,0.0017,2.68e-05,0.00014,0.00013,0.00025,0.00104,3.87e-05,0.0027,0.00239,0.0016,0.0741,0.0741,0.126,0.681,0.0444,0.0754,0.0628,0.138,0.712,0.0112,0.0876,0.0813,0.156,0.651,0.0242,0.237,0.218,0.421,2.04,0.0799,9.2,9.44,7.43,8.69,5.41,4.16,5.45,6.15,4.78,5.46,0.00223
N2,0.00021,0.0002,0.00037,0.00211,0.00012,0.00017,0.00014,0.00033,0.00166,2.66e-05,0.00013,0.00012,0.00023,0.00073,4.01e-05,0.00301,0.00233,0.00125,0.0698,0.0664,0.123,0.701,0.0399,0.0731,0.0602,0.142,0.713,0.0114,0.104,0.096,0.184,0.584,0.0321,0.247,0.223,0.449,2.0,0.0834,10.0,9.76,5.62,8.48,5.7,3.17,6.05,6.42,3.84,5.44,0.0022
N2,0.00021,0.0002,0.00039,0.00356,0.00012,0.00018,0.00015,0.00037,0.00236,2.7e-05,0.00013,0.00012,0.00023,0.00112,3.89e-05,0.00448,0.00309,0.00164,0.0469,0.0446,0.0871,0.795,0.0268,0.0583,0.0486,0.12,0.764,0.00875,0.0793,0.0732,0.14,0.683,0.0237,0.185,0.166,0.347,2.24,0.0593,17.0,13.1,8.62,12.9,9.13,4.87,9.63,8.27,5.4,7.77,0.00307
N2,0.0002,0.00019,0.00036,0.00144,0.00012,0.00019,0.00015,0.00034,0.00129,2.72e-05,0.00014,0.00013,0.00024,0.00064,4.01e-05,0.00231,0.002,0.00119,0.0866,0.0823,0.156,0.623,0.0519,0.0951,0.0751,0.17,0.646,0.0136,0.118,0.109,0.202,0.538,0.0337,0.299,0.267,0.528,1.81,0.0993,7.2,6.79,4.57,6.19,4.0,2.67,4.62,4.79,3.26,4.22,0.00183
N2,0.00021,0.00021,0.00038,0.00176,0.00012,0.00019,0.00016,0.00034,0.00155,2.83e-05,0.00015,0.00013,0.00026,0.00092,4.1e-05,0.00268,0.00227,0.0015,0.0784,0.0784,0.142,0.657,0.0448,0.0838,0.0705,0.15,0.683,0.0125,0.0999,0.0866,0.173,0.613,0.0273,0.262,0.236,0.465,1.95,0.0846,8.38,8.16,6.13,7.56,4.63,3.54,5.1,5.4,4.21,4.9,0.00215
N2,0.00022,0.00022,0.00038,0.00346,0.00014,0.00018,0.00017,0.00034,0.00261,4.09e-05,0.00014,0.00014,0.00023,0.00108,5.18e-05,0.00442,0.00334,0.00164,0.0498,0.0498,0.086,0.783,0.0317,0.0539,0.0509,0.102,0.781,0.0122,0.0853,0.0853,0.14,0.658,0.0316,0.189,0.186,0.328,2.22,0.0755,15.7,14.5,7.71,12.6,9.11,4.7,8.73,8.43,4.68,7.28,0.00313
N2,0.00021,0.0002,0.00039,0.00228,0.00012,0.00019,0.00015,0.00038,0.00201,2.98e-05,0.00014,0.00012,0.00024,0.00096,4e-05,0.0032,0.00276,0.0015,0.0656,0.0625,0.122,0.713,0.0375,0.0688,0.0544,0.138,0.728,0.0108,0.0933,0.08,0.16,0.64,0.0267,0.228,0.197,0.42,2.08,0.075,10.9,10.6,6.86,9.43,5.85,4.0,6.51,7.03,4.62,6.05,0.00249
N2,0.00021,0.00019,0.00041,0.00145,0.00012,0.0002,0.00016,0.00037,0.00129,2.74e-05,0.00013,0.00012,0.00022,0.00067,3.87e-05,0.00238,0.00205,0.00118,0.0882,0.0798,0.172,0.609,0.0504,0.0977,0.0781,0.181,0.63,0.0134,0.11,0.102,0.187,0.568,0.0328,0.296,0.26,0.54,1.81,0.0966,6.9,6.45,5.15,6.17,3.54,3.05,4.65,4.61,3.56,4.27,0.00187
N2,0.00021,0.00019,0.00038,0.00175,0.00012,0.00019,0.00014,0.00034,0.00159,2.56e-05,0.00013,0.00011,0.00023,0.00087,3.74e-05,0.00265,0.00229,0.00138,0.0792,0.0717,0.143,0.66,0.0453,0.0831,0.0613,0.149,0.696,0.0112,0.0944,0.0799,0.167,0.632,0.0272,0.257,0.213,0.459,1.99,0.0836,8.33,8.37,6.69,7.8,4.61,3.78,5.33,5.85,4.58,5.25,0.0021
N2,0.00021,0.0002,0.0004,0.00211,0.00012,0.00021,0.00018,0.00039,0.00168,2.76e-05,0.00013,0.00012,0.00023,0.00074,3.95e-05,0.00304,0.00249,0.00126,0.0691,0.0658,0.132,0.694,0.0395,0.0844,0.0724,0.157,0.675,0.0111,0.103,0.0953,0.183,0.588,0.0314,0.257,0.233,0.471,1.96,0.0819,10.0,8.0,5.69,7.91,5.28,3.22,6.12,5.31,3.88,5.1,0.00226
N2,0.0002,0.00019,0.00037,0.00166,0.00012,0.00018,0.00015,0.00036,0.00166,2.58e-05,0.00012,0.00011,0.00025,0.00094,3.84e-05,0.00254,0.00238,0.00146,0.0787,0.0748,0.146,0.654,0.0472,0.0758,0.0631,0.152,0.699,0.0109,0.0823,0.0754,0.171,0.645,0.0263,0.237,0.213,0.469,2.0,0.0844,8.3,9.22,7.83,8.45,4.49,3.76,5.21,6.12,5.17,5.5,0.00212
N2,0.00032,0.00042,0.0005,0.00267,0.00021,0.00028,0.00034,0.0004,0.00161,0.0001,0.0002,0.00027,0.00026,0.00092,9.98e-05,0.00412,0.00273,0.00175,0.0777,0.102,0.121,0.648,0.051,0.103,0.125,0.147,0.59,0.0366,0.114,0.154,0.149,0.526,0.057,0.295,0.381,0.416,1.76,0.145,8.34,5.75,4.6,6.23,5.34,3.54,4.28,3.24,2.51,3.35,0.00287
N2,0.00022,0.00024,0.00035,0.00092,0.00014,0.00019,0.00019,0.00031,0.00088,4.71e-05,0.00014,0.00016,0.0002,0.00065,5.83e-05,0.00187,0.00162,0.00121,0.118,0.128,0.187,0.492,0.0749,0.117,0.117,0.192,0.544,0.0291,0.116,0.132,0.166,0.538,0.0482,0.351,0.378,0.544,1.57,0.152,4.18,4.63,4.64,4.49,2.63,3.25,2.76,3.13,2.83,2.91,0.00157
N2,0.00024,0.00022,0.00038,0.00174,0.00012,0.0002,0.00018,0.00034,0.0015,3e-05,0.00013,0.00013,0.00021,0.00079,4.16e-05,0.0027,0.00225,0.0013,0.0889,0.0815,0.141,0.644,0.0444,0.0889,0.08,0.151,0.667,0.0133,0.0999,0.0999,0.161,0.607,0.032,0.278,0.261,0.453,1.92,0.0897,7.25,7.5,6.08,6.94,4.58,3.76,4.61,4.84,3.85,4.43,0.00208
N2,0.0002,0.0002,0.00032,0.00111,0.00012,0.00018,0.00016,0.0003,0.00107,2.84e-05,0.00013,0.00012,0.00022,0.00066,4.15e-05,0.00195,0.00174,0.00117,0.103,0.103,0.164,0.569,0.0615,0.104,0.092,0.173,0.616,0.0163,0.111,0.102,0.188,0.563,0.0354,0.317,0.297,0.524,1.75,0.113,5.55,5.94,5.08,5.52,3.47,3.0,3.58,4.03,3.52,3.71,0.00162
N2,0.00021,0.0002,0.00039,0.00203,0.00012,0.00017,0.00016,0.00033,0.00166,3.37e-05,0.00013,0.00012,0.00023,0.00092,4.51e-05,0.00295,0.00235,0.00145,0.0712,0.0678,0.132,0.688,0.0407,0.0722,0.068,0.14,0.705,0.0143,0.09,0.083,0.159,0.637,0.0312,0.233,0.219,0.432,2.03,0.0862,9.67,9.76,7.08,8.84,5.21,4.0,5.9,6.03,4.6,5.51,0.00225
N2,0.0002,0.0002,0.00033,0.00161,0.00012,0.00018,0.00016,0.00029,0.00121,2.93e-05,0.00014,0.00013,0.00024,0.00105,4.25e-05,0.00246,0.00187,0.0016,0.0813,0.0813,0.134,0.654,0.0488,0.0963,0.0856,0.155,0.647,0.0157,0.0874,0.0811,0.15,0.655,0.0265,0.265,0.248,0.439,1.96,0.091,8.05,6.72,7.5,7.42,4.88,4.38,4.85,4.41,4.78,4.68,0.00198
N2,0.0002,0.0002,0.00037,0.00208,0.00012,0.00018,0.00015,0.00034,0.00164,3.1e-05,0.00012,0.00012,0.00022,0.00121,4.4e-05,0.00297,0.00234,0.00171,0.0673,0.0673,0.125,0.7,0.0404,0.0769,0.0641,0.145,0.701,0.0132,0.07,0.07,0.128,0.706,0.0257,0.214,0.201,0.398,2.11,0.0793,10.4,9.11,10.1,9.86,5.62,5.5,6.13,6.0,5.96,6.03,0.00234
N2,0.00021,0.0002,0.00039,0.00178,0.00012,0.00018,0.00015,0.00038,0.00152,2.94e-05,0.00011,0.00011,0.00021,0.00082,4.25e-05,0.0027,0.00226,0.00129,0.0778,0.0741,0.144,0.659,0.0444,0.0797,0.0664,0.168,0.673,0.013,0.0851,0.0851,0.162,0.634,0.0329,0.243,0.226,0.475,1.97,0.0903,8.48,8.44,7.45,8.13,4.56,3.9,5.29,5.76,4.68,5.24,0.00208
N3,0.0002,0.00019,0.00036,0.00223,0.00012,0.00018,0.00015,0.00032,0.00189,2.81e-05,0.00014,0.00012,0.00024,0.00078,4.27e-05,0.0031,0.00257,0.00132,0.0645,0.0613,0.116,0.719,0.0387,0.0701,0.0584,0.125,0.736,0.0109,0.106,0.0907,0.181,0.59,0.0323,0.24,0.21,0.422,2.05,0.0819,11.2,10.5,5.57,9.07,6.19,3.25,6.64,6.7,3.92,5.75,0.00233
N2,0.00021,0.0002,0.00037,0.00227,0.00012,0.00017,0.00014,0.00034,0.00244,2.76e-05,0.00012,0.00012,0.00024,0.00094,4.21e-05,0.00317,0.00312,0.00146,0.0662,0.0631,0.117,0.716,0.0379,0.0545,0.0449,0.109,0.783,0.00885,0.0821,0.0821,0.164,0.643,0.0288,0.203,0.19,0.39,2.14,0.0755,10.8,14.4,7.83,11.0,6.14,3.92,6.44,8.97,4.92,6.77,0.00258
N3,0.00022,0.00019,0.00043,0.00198,0.00012,0.00019,0.00014,0.00038,0.00192,2.72e-05,0.00013,0.00012,0.00023,0.00093,4.08e-05,0.00294,0.00266,0.00145,0.0748,0.0646,0.146,0.673,0.0408,0.0715,0.0527,0.143,0.723,0.0102,0.0896,0.0827,0.159,0.641,0.0281,0.236,0.2,0.448,2.04,0.0792,9.0,10.1,7.15,8.75,4.6,4.04,5.88,6.97,4.64,5.83,0.00235
N3,0.0002,0.00019,0.00039,0.00277,0.00012,0.00016,0.00014,0.00032,0.00233,2.77e-05,0.00012,0.00012,0.00021,0.00124,4.05e-05,0.00367,0.00298,0.00173,0.0545,0.0518,0.106,0.755,0.0327,0.0537,0.047,0.107,0.782,0.0093,0.0693,0.0693,0.121,0.717,0.0234,0.178,0.168,0.335,2.25,0.0654,13.9,14.6,10.3,12.9,7.1,5.9,8.1,8.83,6.04,7.66,0.00279
N2,0.00021,0.00021,0.0004,0.00286,0.00012,0.00018,0.00015,0.00035,0.00236,3.4e-05,0.00012,0.00012,0.00021,0.00108,4.56e-05,0.0038,0.00307,0.00158,0.0553,0.0553,0.105,0.753,0.0316,0.0586,0.0488,0.114,0.768,0.0111,0.0762,0.0762,0.133,0.685,0.0289,0.19,0.18,0.352,2.21,0.0716,13.6,13.1,9.0,11.9,7.15,5.14,7.76,8.21,5.38,7.12,0.00282
N2,0.00026,0.0003,0.0004,0.00232,0.00018,0.00022,0.00023,0.00037,0.00155,6.94e-05,0.00014,0.00016,0.00022,0.0008,6.26e-05,0.00346,0.00244,0.00138,0.0751,0.0867,0.116,0.671,0.052,0.0902,0.0943,0.152,0.635,0.0284,0.101,0.116,0.159,0.579,0.0453,0.267,0.297,0.426,1.88,0.126,8.92,7.05,5.71,7.23,5.8,3.64,4.86,4.27,3.4,4.17,0.00243
N2,0.00021,0.00019,0.00036,0.00151,0.00011,0.00018,0.00015,0.0003,0.00137,2.55e-05,0.00013,0.00012,0.00022,0.00088,3.85e-05,0.00238,0.00203,0.00139,0.0882,0.0798,0.151,0.634,0.0462,0.0889,0.0741,0.148,0.676,0.0126,0.0936,0.0864,0.158,0.634,0.0277,0.271,0.24,0.458,1.94,0.0865,7.19,7.61,6.77,7.19,4.19,4.0,4.68,5.06,4.4,4.71,0.00193
N2,0.0002,0.00018,0.00037,0.00171,0.00011,0.00017,0.00014,0.00034,0.00192,2.58e-05,0.00013,0.00011,0.00024,0.00105,3.9e-05,0.00257,0.0026,0.00157,0.0778,0.07,0.144,0.665,0.0428,0.0655,0.0539,0.131,0.74,0.00994,0.0829,0.0701,0.153,0.669,0.0249,0.226,0.194,0.428,2.07,0.0776,8.55,11.3,8.08,9.31,4.62,4.38,5.47,7.29,5.38,6.05,0.00224
N2,0.00018,0.00017,0.00032,0.00188,0.00011,0.00015,0.00012,0.00029,0.00193,2.36e-05,0.00013,0.00011,0.00023,0.00124,3.7e-05,0.00266,0.00251,0.00175,0.0677,0.0639,0.12,0.707,0.0414,0.0597,0.0477,0.115,0.768,0.00939,0.0744,0.063,0.132,0.71,0.0212,0.202,0.175,0.367,2.18,0.0719,10.4,12.9,9.54,10.9,5.88,5.39,6.29,8.22,6.13,6.88,0.00231
N2,0.00018,0.00018,0.00033,0.00206,0.00011,0.00016,0.00014,0.00031,0.00169,2.63e-05,0.00013,0.00012,0.00024,0.00122,3.84e-05,0.00286,0.00233,0.00175,0.0629,0.0629,0.115,0.72,0.0385,0.0688,0.0602,0.133,0.726,0.0113,0.0744,0.0686,0.137,0.698,0.022,0.206,0.192,0.386,2.14,0.0717,11.4,10.6,9.38,10.5,6.24,5.08,6.64,6.67,5.84,6.38,0.00231
N3,0.00019,0.00019,0.00033,0.00241,0.00011,0.00017,0.00015,0.00033,0.00246,2.63e-05,0.00013,0.00011,0.00026,0.0012,3.77e-05,0.00323,0.00314,0.00174,0.0588,0.0588,0.102,0.746,0.0341,0.0542,0.0478,0.105,0.784,0.00839,0.0748,0.0633,0.15,0.691,0.0217,0.188,0.17,0.357,2.22,0.0641,12.7,14.5,9.23,12.1,7.3,4.62,7.21,8.72,6.08,7.34,0.0027
N3,0.0002,0.00018,0.00035,0.00206,0.00011,0.00017,0.00013,0.00031,0.00184,2.55e-05,0.00014,0.00011,0.00026,0.00116,3.72e-05,0.0029,0.00248,0.00171,0.069,0.0621,0.121,0.71,0.0379,0.0687,0.0525,0.125,0.743,0.0103,0.082,0.0644,0.152,0.679,0.0218,0.22,0.179,0.398,2.13,0.07,10.3,10.8,8.29,9.8,5.89,4.46,6.34,7.17,5.68,6.4,0.00236
N2,0.00019,0.00017,0.00038,0.00218,0.00011,0.00016,0.00012,0.00034,0.00256,2.52e-05,0.00012,0.00011,0.00022,0.00129,3.7e-05,0.00303,0.00321,0.00178,0.0627,0.0561,0.125,0.719,0.0363,0.0499,0.0374,0.106,0.799,0.00786,0.0675,0.0619,0.124,0.726,0.0208,0.18,0.155,0.355,2.24,0.065,11.5,16.0,10.8,12.7,5.74,5.86,7.11,10.4,6.57,8.01,0.00267
N3,0.0002,0.00019,0.00038,0.00336,0.00012,0.00016,0.00013,0.00033,0.00346,2.59e-05,0.00012,0.00011,0.00022,0.00128,3.73e-05,0.00425,0.00411,0.00177,0.0471,0.0447,0.0894,0.791,0.0282,0.039,0.0317,0.0804,0.843,0.00631,0.0679,0.0622,0.124,0.724,0.0211,0.154,0.139,0.294,2.36,0.0556,16.8,21.6,10.7,16.4,8.84,5.82,9.59,13.1,6.52,9.73,0.00337
N3,0.0002,0.00019,0.00042,0.0029,0.00012,0.00017,0.00014,0.00037,0.00237,2.84e-05,0.00012,0.00012,0.00023,0.00115,3.81e-05,0.00383,0.00308,0.00166,0.0522,0.0496,0.11,0.757,0.0313,0.0552,0.0455,0.12,0.77,0.00923,0.0724,0.0724,0.139,0.694,0.023,0.18,0.167,0.369,2.22,0.0635,14.5,13.9,9.58,12.7,6.9,5.0,8.51,8.84,5.75,7.7,0.00286
N3,0.0002,0.00018,0.0004,0.00246,0.00012,0.00018,0.00014,0.00037,0.00216,2.79e-05,0.00012,0.00011,0.00023,0.00113,3.63e-05,0.00336,0.00288,0.00163,0.0595,0.0536,0.119,0.732,0.0357,0.0625,0.0486,0.129,0.751,0.00969,0.0738,0.0676,0.141,0.695,0.0223,0.196,0.17,0.389,2.18,0.0677,12.3,12.0,9.42,11.2,6.15,4.91,7.53,7.91,5.91,7.12,0.00262
N3,0.00018,0.00018,0.00035,0.00245,0.00012,0.00016,0.00012,0.0003,0.00207,2.83e-05,0.00012,0.0001,0.00022,0.00093,3.79e-05,0.00328,0.00268,0.00141,0.0549,0.0549,0.107,0.747,0.0366,0.0597,0.0448,0.112,0.773,0.0106,0.0852,0.071,0.156,0.661,0.0269,0.2,0.171,0.375,2.18,0.0741,13.6,12.9,7.75,11.4,7.0,4.23,7.78,8.46,5.23,7.16,0.00246
N3,0.00019,0.00018,0.00039,0.00338,0.00013,0.00016,0.00013,0.00036,0.00286,2.79e-05,0.00013,0.00011,0.0003,0.00149,3.75e-05,0.00427,0.00354,0.00207,0.0445,0.0422,0.0913,0.792,0.0304,0.0452,0.0367,0.102,0.808,0.00789,0.0629,0.0532,0.145,0.721,0.0181,0.153,0.132,0.338,2.32,0.0565,17.8,17.9,11.5,15.7,8.67,4.97,10.2,11.1,7.46,9.58,0.00329
N3,0.00019,0.00017,0.00038,0.00404,0.00013,0.00016,0.00013,0.00033,0.00357,2.78e-05,0.00012,0.00011,0.00023,0.00143,3.85e-05,0.00491,0.00422,0.00193,0.0387,0.0346,0.0774,0.823,0.0265,0.0379,0.0308,0.0782,0.846,0.00659,0.0622,0.057,0.119,0.742,0.02,0.139,0.122,0.275,2.41,0.053,21.3,22.3,11.9,18.5,10.6,6.22,12.3,13.4,7.22,11.0,0.00369
N3,0.00018,0.00018,0.00035,0.00191,0.00013,0.00015,0.00012,0.00031,0.00182,2.92e-05,0.00012,0.0001,0.00022,0.00114,3.96e-05,0.00275,0.00243,0.00162,0.0655,0.0655,0.127,0.695,0.0473,0.0617,0.0494,0.128,0.749,0.012,0.0741,0.0617,0.136,0.704,0.0245,0.201,0.177,0.391,2.15,0.0837,10.6,12.1,9.5,10.7,5.46,5.18,6.28,7.89,6.18,6.78,0.00227
N3,0.00018,0.00017,0.00039,0.00459,0.00013,0.00015,0.00012,0.00034,0.00399,2.98e-05,0.00011,0.0001,0.0002,0.00156,4.05e-05,0.00546,0.00463,0.00201,0.033,0.0311,0.0714,0.841,0.0238,0.0324,0.0259,0.0734,0.862,0.00644,0.0547,0.0497,0.0995,0.776,0.0201,0.12,0.107,0.244,2.48,0.0504,25.5,26.6,14.2,22.1,11.8,7.8,14.2,16.0,8.38,12.9,0.00403
N3,0.00017,0.00017,0.00034,0.00216,0.00014,0.00016,0.00012,0.00032,0.00155,2.98e-05,0.00015,0.00011,0.00029,0.0011,3.96e-05,0.00298,0.00218,0.00169,0.057,0.057,0.114,0.725,0.047,0.0734,0.0551,0.147,0.711,0.0137,0.0888,0.0651,0.172,0.651,0.0234,0.219,0.177,0.433,2.09,0.0841,12.7,9.69,7.33,9.91,6.35,3.79,7.35,6.68,5.35,6.46,0.00228
